policy,repetitions,admit_rate_mean,admit_rate_std,slo_attainment_mean,slo_attainment_std,p99_ttft_ms_mean,p99_ttft_ms_std,throttle_rate_mean,throttle_rate_std
none,14,1.0,0.0,0.9983016788769999,0.0017110475416847867,578.9998258863177,49.72764078458016,0.0,0.0
priority,10,0.8366831412198078,0.02206143516803277,0.9956890486933819,0.003590184172430715,397.0189094543457,28.904769455184283,0.16331685878019217,0.02206143516803277
rpm,10,1.0,0.0,0.9995475113122172,0.0009049773755656076,528.8407325744629,50.12810804987855,0.0,0.0
slo-aware,20,0.7213715115740891,0.2574108005330209,0.9772994693539686,0.006286412664081222,481.5829277038574,99.27865007452242,0.2786284884259109,0.2574108005330209
token-bucket,10,0.9136555599322692,0.007546454363437982,0.9965174129353234,0.002536825628653124,450.74496269226074,25.348641965952524,0.08634444006773077,0.007546454363437977
tpm,10,0.8551075694937923,0.04143304889648,0.9824654758574606,0.025620325065246433,578.7853717803955,112.8420580397326,0.14489243050620773,0.04143304889647998
