policy,repetitions,admit_rate_mean,admit_rate_std,conditional_slo_attainment_mean,conditional_slo_attainment_std,effective_slo_goodput_mean,effective_slo_goodput_std,p95_ttft_ms_mean,p95_ttft_ms_std,p99_ttft_ms_mean,p99_ttft_ms_std,throttle_rate_mean,throttle_rate_std
none,5,1.0,0.0,1.0,0.0,1.0,0.0,451.0382652282715,12.005476631753599,550.3068447113037,14.867133746232907,0.0,0.0
priority,5,0.3711731519093795,0.02721074054357479,0.9475910613191884,0.012892295469877722,0.3515825698840354,0.024266977408288332,353.2081127166748,3.8154223599337143,421.2583065032959,23.99032543541592,0.6288268480906205,0.027210740543574807
rpm,5,1.0,0.0,0.9998666666666667,0.0002666666666666817,0.9998666666666667,0.0002666666666666817,415.2420997619629,10.234492295744806,507.38635063171387,18.757864262416806,0.0,0.0
slo-aware,5,0.285361597292985,0.025970889045833005,0.8881127732125101,0.013417746017028479,0.25343465999215165,0.023104998530031427,342.34652519226074,1.6802689620058808,393.9157485961914,12.917244102811187,0.7146384027070151,0.02597088904583301
token-bucket,5,0.43673618651268914,0.0085431682080543,0.899094612308229,0.015522867409278546,0.3927097704036756,0.011812433402915042,428.0153751373291,7.059517525868252,479.0400981903076,11.860957753829021,0.5632638134873109,0.008543168208054315
tpm,5,0.3309417631831122,0.025016614023286105,0.9216763852978008,0.012634026461876089,0.30521925654161086,0.025902985447930665,390.6787395477295,20.308461009322755,471.99039459228516,31.890821929718737,0.6690582368168878,0.025016614023286116
