policy,repetitions,admit_rate_mean,admit_rate_std,conditional_slo_attainment_mean,conditional_slo_attainment_std,effective_slo_goodput_mean,effective_slo_goodput_std,p99_ttft_ms_mean,p99_ttft_ms_std,throttle_rate_mean,throttle_rate_std
none,5,1.0,0.0,0.9990803382663848,0.0011264749940598296,0.9990803382663848,0.0011264749940598296,561.9725704193115,35.11505157832905,0.0,0.0
priority,5,0.8366831412198078,0.02206143516803277,0.9956890486933819,0.003590184172430715,0.8330570613853858,0.02146391573072288,397.0189094543457,28.904769455184283,0.16331685878019217,0.02206143516803277
rpm,5,1.0,0.0,0.9995475113122172,0.0009049773755656076,0.9995475113122172,0.0009049773755656076,528.8407325744629,50.12810804987855,0.0,0.0
slo-aware,5,0.867204150660057,0.022859444412860596,0.9768689157446484,0.003398711925324875,0.8471927235724828,0.024229625237585865,393.88766288757324,12.931468413860284,0.13279584933994307,0.022859444412860624
token-bucket,5,0.9136555599322692,0.007546454363437982,0.9965174129353234,0.002536825628653124,0.9104568457334968,0.005572390052096729,450.74496269226074,25.348641965952524,0.08634444006773077,0.007546454363437977
tpm,5,0.8551075694937923,0.04143304889648,0.9824654758574606,0.025620325065246433,0.8391906790468685,0.023832644940163,578.7853717803955,112.8420580397326,0.14489243050620773,0.04143304889647998
